split_id,train_end_date,test_start_date,test_end_date,n_train,n_test,rmse,mae,r2,mape,model,category
5,2020-09-03,2020-09-04,2020-09-10,672,87,1.252640467581484,0.9234466722788307,0.9540254234354717,14.254444726450474,GradientBoosting,花叶类
5,2020-09-03,2020-09-04,2020-09-10,672,87,3.11422676472096,2.545721574089175,0.7158384401807325,37.92805420941514,Huber,花叶类
6,2020-09-10,2020-09-11,2020-09-17,759,91,1.6751482302762948,1.115388131868132,0.9216707151785785,10.725081643010006,RandomForest,花叶类
6,2020-09-10,2020-09-11,2020-09-17,759,91,1.686710053581869,1.153578433819558,0.9205857309989507,13.756003439388861,GradientBoosting,花叶类
6,2020-09-10,2020-09-11,2020-09-17,759,91,3.617095840994508,2.657910981474742,0.6347941647246285,30.738480435546865,Huber,花叶类
7,2020-09-17,2020-09-18,2020-09-24,850,80,1.2522411941435245,1.0432580000000002,0.9540637395717042,12.618243276058427,RandomForest,花叶类
7,2020-09-17,2020-09-18,2020-09-24,850,80,1.246064209127595,1.062376098237439,0.9545158054621818,13.816950565902136,GradientBoosting,花叶类
7,2020-09-17,2020-09-18,2020-09-24,850,80,3.3038160273961528,2.5189058129924926,0.6802493942251313,32.535385066839254,Huber,花叶类
0,2020-07-30,2020-07-31,2020-08-06,60,14,3.931665730279869,3.2932042857142823,0.34209287688787293,14.672869364506935,RandomForest,花菜类
0,2020-07-30,2020-07-31,2020-08-06,60,14,4.049513735933506,3.3906634603434185,0.30206148154391055,14.765586920313792,GradientBoosting,花菜类
0,2020-07-30,2020-07-31,2020-08-06,60,14,4.236360641983107,3.442984795316427,0.23616902938763074,17.488135892636887,Huber,花菜类
1,2020-08-06,2020-08-07,2020-08-13,74,14,4.047467687798313,3.1783257142857133,0.2427212540587952,11.717833120601066,RandomForest,花菜类
1,2020-08-06,2020-08-07,2020-08-13,74,14,4.130346597522857,3.320630777185985,0.21139054236431243,12.67200507441036,GradientBoosting,花菜类
1,2020-08-06,2020-08-07,2020-08-13,74,14,6.529993959264688,4.898570729747362,-0.9711267252810984,20.421822230377586,Huber,花菜类
2,2020-08-13,2020-08-14,2020-08-20,88,13,9.26477999222199,6.692586153846152,-0.6956991121560048,36.33644438916874,RandomForest,花菜类
2,2020-08-13,2020-08-14,2020-08-20,88,13,9.77743968080058,6.466406001242055,-0.8885516292503728,37.07236221858391,GradientBoosting,花菜类
2,2020-08-13,2020-08-14,2020-08-20,88,13,10.125366584222702,7.169064405628388,-1.025349991721205,37.411893912954405,Huber,花菜类
3,2020-08-20,2020-08-21,2020-08-27,101,14,6.799074258000128,5.3372528571428575,0.2445384883561419,17.700035564131177,RandomForest,花菜类
3,2020-08-20,2020-08-21,2020-08-27,101,14,6.849396840996749,5.664182107193121,0.23331417704195123,19.41210916319352,GradientBoosting,花菜类
3,2020-08-20,2020-08-21,2020-08-27,101,14,9.284429369487444,7.414458165790097,-0.40871522320637177,25.27323338857504,Huber,花菜类
4,2020-08-27,2020-08-28,2020-09-03,115,14,6.740127667461919,5.776798571428566,0.1584564544782826,23.871270343413475,RandomForest,花菜类
