催化剂组合编号,温度范围,温度中心点,乙醇转化率-β0,乙醇转化率-β1,乙醇转化率-β2,乙醇转化率-R方,乙醇转化率-F统计量,乙醇转化率-F检验p值,乙醇转化率-模型显著,乙醇转化率-二次项t统计量,乙醇转化率-二次项p值,乙醇转化率-保留二次项,乙醇转化率-极值温度,乙醇转化率-极值,乙醇转化率-单调性,C4烯烃选择性-β0,C4烯烃选择性-β1,C4烯烃选择性-β2,C4烯烃选择性-R方,C4烯烃选择性-F统计量,C4烯烃选择性-F检验p值,C4烯烃选择性-模型显著,C4烯烃选择性-二次项t统计量,C4烯烃选择性-二次项p值,C4烯烃选择性-保留二次项,C4烯烃选择性-极值温度,C4烯烃选择性-极值,C4烯烃选择性-单调性
A6,250.0-400.0°C,315.0°C,31.636110711038565,0.45747059861400546,0.002028143619995691,0.9846170937871174,64.00722205291306,0.01538290621288263,True,,,False,,,递增,6.3808982523628766,0.15326273869892904,0.002277063373306851,0.9451172296394578,17.22065455935778,0.05488277036054223,False,,,False,,,递增
A7,250.0-400.0°C,315.0°C,43.16042687828896,0.37274009153137144,0.0002206792939322706,0.9949106363081137,195.48821749450804,0.005089363691886284,True,,,False,,,递增,10.69203286875541,0.15915562439001277,0.0012765953358170638,0.9985230938318461,676.09108510937,0.0014769061681538798,True,,,False,,,递增
A8,250.0-400.0°C,315.0°C,17.213773021125142,0.29730272637615207,0.0019484941426113607,0.9981373373042003,535.8658545935411,0.0018626626957997106,True,,,False,,,递增,16.035023218312713,0.22203254626885738,0.0009311297645934619,0.9979427331082664,485.0818030067746,0.002057266891733578,True,,,False,,,递增
A9,250.0-400.0°C,315.0°C,5.423491362748936,0.19469491194299088,0.0025044852122521645,0.9901146023337942,100.1593092929995,0.009885397666205775,True,,,False,,,递增,19.645941556316448,0.24770699612403316,0.0002803929698473192,0.9926964291085725,135.91932547320621,0.007303570891427524,True,,,False,,,递增
B1,250.0-400.0°C,315.0°C,8.950044469285956,0.2363070226426474,0.0019868483946332417,0.9985275561975984,678.143067035181,0.001472443802401635,True,,,False,,,递增,15.273400404724862,0.21572546943286464,0.0011038384783381534,0.9957268767276972,233.02086396189995,0.004273123272302781,True,,,False,,,递增
B2,250.0-400.0°C,315.0°C,7.26872679081012,0.2162927457874723,0.0025959318988513012,0.9910647346970368,110.91609494441933,0.00893526530296318,True,,,False,,,递增,12.29250212603758,0.2194945845342772,0.0011336716660143688,0.9968321525230512,314.6717636428555,0.0031678474769487597,True,,,False,,,递增
B3,250.0-400.0°C,316.7°C,1.9840007628734324,0.10793715495540071,0.0014024337357726171,0.9914322674886975,173.57549378102297,0.0007930468578428718,True,,,False,,,递增,8.312346287464445,0.11118816597089975,0.0005392928671863016,0.9752241089616775,59.042726704757186,0.0038998142651957,True,,,False,,,递增
B4,250.0-400.0°C,316.7°C,3.844680063759199,0.17300540362577554,0.002085100211235218,0.9869622291074307,113.55034199173576,0.0014886925590567035,True,,,False,,,递增,7.500675989631473,0.08470698890836403,0.0010570886717655794,0.9726609156391124,53.36650467877256,0.0045203904387872695,True,,,False,,,递增
B5,250.0-400.0°C,316.7°C,7.3951751841238265,0.2289827059425554,0.0025567403632695217,0.9912932462861717,170.78005400194766,0.0008124270777104536,True,,,False,,,递增,9.772013431704453,0.13414111667051098,0.00072210638170991,0.9972062336973403,535.4096185933557,0.00014766756452166963,True,,,False,,,递增
B6,250.0-400.0°C,316.7°C,14.176843427335774,0.3350788127895692,0.002917994091832399,0.9899620834884144,147.93340067320966,0.0010056928645676422,True,,,False,,,递增,13.249674869975644,0.18321933416096736,0.00042425028295876085,0.9698180042215433,48.19850274350207,0.005243507952857995,True,,,False,,,递增
B7,250.0-400.0°C,316.7°C,15.076321406553989,0.3632152929008251,0.003389790131658563,0.9963295442490107,407.16859642584404,0.0002223719422059789,True,,,False,,,递增,15.889264298649584,0.22415790545637682,0.0005695191619362891,0.9960565487047229,378.87746321261653,0.00024763653691728393,True,,,False,,,递增
